vault,type,token0,token1,amount0,amount1,price0_usd,price1_usd,tvl_usd
0x44eb7a94a69709bc5277ba155e27e03ebdf0cb04,private,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,2.450846,0.000337921284459895,0.99984900,2975.33000000,3.46
0x8f5f832e53b5d0fcbe22e5128da60521a288f7f4,private,0xcccccccccc33d538dbc2ee4feab0a7a1ff4e8a94,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,2398758.086853999050054235,95.465513889195428954,,2975.33000000,
0x4194effd2099f896f0a715f6d7f8d3d44b97891e,private,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,0.424567572616999717,0.00902180333322938,,2975.33000000,
0x706fc1addaa9d63663ee98a8fcb4a61dc48c458c,private,0x15b7c0c907e4c6b9adaaaabc300c08991d6cea05,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,8169722.891774451448075508,26.55379551839532483,,2975.33000000,
0x0d04c3e6055378ba660932675edc8f95b11184d6,private,0x157a6df6b74f4e5e45af4e4615fde7b49225a662,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,0,0.002,,2975.33000000,
0xc02e7f2079bf316235af7b0ca22255dc1d3ec7dd,private,0x17906b1cd88aa8efaefc5e82891b52a22219bd45,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,75900250.487486166555767307,7.088761969066526926,,2975.33000000,
0x180c501bbd42f8b8cfdb8ee0acea35e8f64a2fcd,private,0x6033f7f88332b8db6ad452b7c6d5bb643990ae3f,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,14.999999999999999995,0.000001999999999999,,2975.33000000,
0xaf74485eef7fb58086115ab5d2851cfe56e3f51a,private,0x6033f7f88332b8db6ad452b7c6d5bb643990ae3f,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,1018808.3239258377239968,54.583452202808679324,,2975.33000000,
0x3a73e50806eb69a31de7f8c18d945ee2a964cd71,private,0x881ba05de1e78f549cc63a8f6cabb1d4ad32250d,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,21634736.950644108026204434,31.062101483394613143,,2975.33000000,
0x9f71298ee14176395c36797e65be1169e15f20d4,private,0x58d97b57bb95320f9a05dc918aef65434969c2b2,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,1205293.384464521902020056,499.983736724386714932,,2975.33000000,
0x2595807be4006b2ab53d168026a1537ce3f84db3,private,0x7159cc276d7d17ab4b3beb19959e1f39368a45ba,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,54905639.7520575995773541,16.946289435584244581,,2975.33000000,
0xb695efdc8156ea36ff98c3e4d9c70aa86b7e3d4e,private,0x80ac24aa929eaf5013f6436cda2a7ba190f5cc0b,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,4.21862,17.186551,,0.99984900,
0x04fa46e3ccc5490129e4318ce5e750fc11910564,private,0x525574c899a7c877a11865339e57376092168258,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,134553000.926605667966349966,5.976821383876350868,,2975.33000000,
0xe6b8a8a870e3d52a5c73a42a77e5a26f3559c373,private,0x0b010000b7624eb9b3dfbc279673c76e9d29d5f7,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,3046290.471831763616560515,9711.978519,,0.99984900,
0x88ad80728646f0f96afa5676becbcc1e841fe7bd,private,0x77146784315ba81904d654466968e3a7c196d1f3,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1,0,,0.99984900,
0x59726ca036e22f3cb204567d3349fd2ed863e4f7,private,0x643c4e15d7d62ad0abec4a9bd4b001aa3ef52d66,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,3657666.416307856162014319,400.34762364278599942,,2975.33000000,
0x611f86821e67081df24439b51d9492212fbb59c0,private,0x5c1d9aa868a30795f92fae903edc9eff269044bf,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,2484924.523270005221103451,4.624745628652895652,,2975.33000000,
0x5128e2820cd54cf1ae55f6167566421cb3f3c1b5,private,0x80ac24aa929eaf5013f6436cda2a7ba190f5cc0b,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2276840.383414,17425619.537305,,0.99984900,
